step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,OrigBalanceDiff,DestBalanceDiff,hourOfDay,highValue,type_CASH_OUT,type_PAYMENT,type_TRANSFER,isFraud
371,735402.0,468044.9,0.0,3863022.0,5239416.5,907322.06,-2274168.2,6,1,1,0,0,1
411,1543713.2,4047112.0,1371873.6,354601.03,0.0,0.0,-1641681.6,18,0,0,0,1,1
584,1874520.6,2757539.0,316004.28,0.0,35395.43,1736268.1,44159.79,11,1,0,0,1,1
255,2268618.5,2559249.5,302195.75,1173648.6,2689250.0,2321981.8,-1508237.9,9,1,1,0,0,1
570,389069.97,733306.2,0.0,3350775.0,2452626.8,67728.46,395442.8,6,0,1,0,0,1
154,2537449.8,2211893.5,0.0,3353459.2,4673647.5,2595603.5,-2426940.8,15,1,1,0,0,1
578,3598643.8,3325105.2,883450.56,0.0,232707.31,3192827.5,-1220410.9,15,1,0,0,1,1
552,2225079.5,1470177.5,0.0,252964.56,2458063.2,1343079.6,-1595213.1,18,1,1,0,0,1
152,0.0,0.0,0.0,0.0,0.0,0.0,77349.54,5,0,0,0,1,1
357,199760.72,845511.5,29234.3,1030942.2,1230506.9,281626.97,90997.16,18,1,1,0,0,1
152,0.0,0.0,0.0,0.0,0.0,31051.96,-1018163.1,18,0,0,0,1,1
584,2802164.2,2333769.8,247700.23,97265.03,1045069.6,2380594.2,-1479051.6,18,1,1,0,0,1
153,3786114.0,4476651.0,644726.0,0.0,1239396.1,3656706.5,-1132639.6,6,1,0,0,1,1
152,0.0,0.0,0.0,3990637.0,5186875.0,2047696.4,-1288453.8,7,1,1,0,0,1
500,2631083.2,1947607.2,0.0,0.0,386397.0,1839402.5,-616448.75,18,1,0,0,1,1
528,2340375.5,2499278.2,1103030.4,0.0,0.0,1651276.8,-390171.56,7,0,0,0,1,1
152,360396.84,1098973.8,15066.05,3259771.5,4479005.5,84496.45,-704406.06,7,1,1,0,0,1
187,2885891.8,1423424.8,641085.44,0.0,0.0,2193183.2,315923.4,18,1,0,0,1,1
156,736318.25,1210244.6,0.0,150094.62,447020.7,647671.4,20417.41,16,1,0,0,1,1
561,2164526.0,949019.44,385294.03,252028.05,2029961.9,1077513.0,-1399874.8,18,1,1,0,0,1
581,0.0,0.0,0.0,1935733.5,2602867.0,36689.95,-163709.6,18,1,1,0,0,1
382,2021958.1,2053426.8,0.0,1941100.8,4203077.5,2467516.2,-1880929.5,5,1,1,0,0,1
179,24156.6,254455.14,0.0,384543.2,1242792.6,492030.47,-182182.22,11,1,1,0,0,1
152,3388740.8,4325052.0,1204000.5,3972868.5,5268035.0,3471366.5,-2548627.0,18,1,1,0,0,1
153,813717.8,762922.6,518208.28,3244160.8,4802175.5,240536.7,-1843938.2,18,1,1,0,0,1
567,514294.84,238707.14,180706.95,2221121.5,1885241.9,303295.84,-936307.06,5,1,1,0,0,1
583,374609.72,1622115.2,168853.45,3811215.0,4924180.0,1302808.5,-1708720.4,18,1,1,0,0,1
152,2767716.5,1943721.2,1405124.6,3888937.2,5091019.0,2281213.8,-2448670.8,5,1,1,0,0,1
580,2678741.0,3194693.0,209350.66,0.0,1272528.6,2760808.8,-1426975.0,18,1,0,0,1,1
583,838687.6,1640057.0,0.0,0.0,0.0,528731.3,-260130.16,7,1,0,0,1,1
165,3214171.8,2994648.8,26851.26,425643.16,623302.9,3112659.5,-602619.75,18,1,0,0,1,1
152,2534909.8,2521785.5,312209.5,3927471.2,5260096.0,2119156.8,-2207044.5,5,0,1,0,0,1
303,1283402.6,183569.52,0.0,339324.44,3323061.0,1216124.2,-2417266.8,15,1,1,0,0,1
152,91752.22,1132898.8,0.0,2024016.4,2075089.6,1118958.2,-366992.47,13,0,1,0,0,1
584,3018946.2,2434725.2,224303.05,0.0,736431.5,3079861.8,-1347818.9,18,1,0,0,1,1
181,3145981.0,2881956.5,470539.97,0.0,0.0,2600222.5,-231570.66,11,1,0,0,1,1
274,3825940.8,4943659.0,1022238.2,1284804.6,2272830.8,3768673.5,-1279893.0,8,1,0,0,1,1
152,1364678.4,1851081.5,665832.06,3822723.8,4907180.0,1574596.6,-1858792.4,18,1,1,0,0,1
372,3812116.8,5103191.5,1794415.2,0.0,2584091.2,3669436.2,24734.23,18,1,0,0,1,1
152,1835821.0,1420285.1,606006.7,0.0,577285.7,1059694.8,-390940.4,16,0,0,0,1,1
152,3425416.8,2368775.8,79940.22,238203.66,1078990.9,3379171.0,-1377747.2,5,1,0,0,1,1
331,3226963.0,2978483.8,848437.8,88432.25,270847.25,2959416.0,324420.28,18,1,0,0,1,1
152,1038182.5,282967.03,730368.6,3764114.0,5127701.5,347724.6,-2128976.0,18,1,1,0,0,1
559,0.0,0.0,0.0,2460938.8,4044315.5,375988.97,-1086754.6,18,1,1,0,0,1
294,3280861.0,3153849.5,949911.5,1284261.2,302346.56,3028809.5,520310.16,5,1,0,0,1,1
152,760403.4,1184035.6,0.0,2016296.5,4230154.5,407395.38,-1614211.0,5,0,1,0,0,1
434,0.0,0.0,153214.81,3041484.5,4164715.0,0.0,882589.6,5,0,1,0,0,1
583,1763123.2,96852.52,206904.3,2589476.8,4078861.8,140392.08,-1099365.6,14,1,1,0,0,1
152,2625334.5,1843858.5,0.0,0.0,932095.6,2568303.5,-1837416.4,5,1,1,0,0,1
211,2890694.5,2397320.2,39168.63,0.0,0.0,2052938.4,-22625.84,13,1,0,0,1,1
169,1251449.5,888721.25,0.0,0.0,1110944.2,1346684.8,-1226023.5,5,1,1,0,0,1
584,3250572.8,2325955.0,997304.5,0.0,0.0,3219532.2,181041.22,13,1,0,0,1,1
226,3817787.8,5096344.5,1251634.9,2007953.2,1246479.9,3772569.5,53007.22,5,1,0,0,1,1
421,318905.1,129330.15,1118013.9,3049499.0,4476647.0,260919.95,-1211977.9,12,0,1,0,0,1
214,3238093.0,3827289.2,979732.2,215141.38,832625.8,3130300.2,281142.28,8,1,0,0,1,1
287,3805014.0,5046877.0,1541406.1,2664584.8,795605.94,3795267.8,847158.4,5,1,0,0,1,1
229,1915327.0,1254572.5,36202.3,0.0,0.0,1697326.8,-164813.16,5,1,0,0,1,1
583,2820275.0,3026339.0,48530.36,3478115.0,5087248.0,2619055.8,-2342814.0,6,1,1,0,0,1
159,0.0,8204.65,583401.5,3819075.8,4936430.5,1352418.8,-1688540.5,18,1,1,0,0,1
288,3437981.8,4194149.0,99037.98,3628473.2,5237196.5,3556157.5,-2549715.8,12,1,1,0,0,1
154,2144242.8,2323497.2,354011.1,648798.8,1212721.9,2120359.5,-1517836.0,18,1,1,0,0,1
416,520121.1,938289.8,441792.8,108396.12,883432.2,989795.44,-1118382.2,5,1,1,0,0,1
581,2120502.5,132491.14,0.0,3658907.2,5124355.0,983889.44,-1778071.5,18,1,1,0,0,1
578,355627.97,943680.56,207313.42,888788.56,3019815.0,207053.45,-1194631.9,16,1,1,0,0,1
584,3067211.0,1737199.6,53706.12,511786.9,934683.7,1943215.6,209378.34,18,1,0,0,1,1
584,0.0,83597.02,365120.0,2352364.0,3255299.0,26332.96,48706.6,18,0,1,0,0,1
440,3828344.8,4796523.5,1179700.1,1555613.8,3080682.5,3722882.5,22398.23,5,1,0,0,1,1
202,249763.84,501118.8,231685.55,2315491.8,3818317.0,405188.28,-1995060.0,5,1,1,0,0,1
152,865071.4,1569745.0,203805.05,0.0,0.0,992018.75,166219.1,5,0,0,0,1,1
235,390507.38,22336.4,0.0,0.0,0.0,281343.22,-48961.71,18,0,0,0,1,1
583,1632134.1,1272547.8,355984.2,115931.25,2112025.0,1499042.4,-1087673.6,18,1,1,0,0,1
188,0.0,0.0,0.0,0.0,617296.0,211634.45,-629535.5,6,0,0,0,1,1
423,3789595.5,4817971.0,38073.26,901472.56,4131866.2,3715894.0,-2487093.0,18,1,1,0,0,1
506,1943282.5,2028524.4,659243.5,1247426.2,2687679.2,2590144.5,-1375497.0,18,1,1,0,0,1
190,3428920.8,3584206.0,211609.8,0.0,464175.62,3211550.5,-1378647.2,5,1,0,0,1,1
152,1572002.5,1878384.4,83972.17,3590677.5,5119759.0,894575.1,-2328099.2,18,1,1,0,0,1
563,3633957.5,2941710.0,0.0,0.0,0.0,2881436.2,-201045.16,18,1,0,0,1,1
185,3214014.0,3740495.2,0.0,0.0,1888228.8,3441760.8,-2328075.2,11,1,1,0,0,1
569,1815811.9,673799.4,745792.56,2821325.0,4774740.5,2670271.0,-2476852.8,5,1,1,0,0,1
279,3704839.2,3919876.5,1033253.5,1490003.2,1691793.2,3149244.8,77551.92,5,1,0,0,1,1
584,3794145.5,4314560.5,761184.3,970876.2,0.0,3751103.2,452094.62,18,1,0,0,1,1
152,1253540.4,1938649.5,764116.75,3934758.8,5185177.5,1074274.1,-761240.94,18,1,1,0,0,1
